,Treatment,Dung Type,Pupa Weight (g),X1
,Sucrose,Hay,0.1033,Sucrose_Hay
,Sucrose,Hay,0.1758,Sucrose_Hay
,Sucrose,Hay,NA,Sucrose_Hay
,Sucrose,Hay,NA,Sucrose_Hay
,MeM,Hay,0.1632,MeM_Hay
,MeM,Hay,0.251,MeM_Hay
,MeM,Hay,NA,MeM_Hay
,DI Water,Hay,0.2152,DI_Hay
,DI Water,Hay,0.1800,DI_Hay
,DI Water,Hay,NA,DI_Hay
,Sucrose,Grass,0.2409,Sucrose_Grass
,Sucrose,Grass,0.2212,Sucrose_Grass
,Sucrose,Grass,0.2317,Sucrose_Grass
,Sucrose,Grass,0.2205,Sucrose_Grass
,MeM,Grass,NA,MeM_Grass
,MeM,Grass,NA,MeM_Grass
,MeM,Grass,0.2686,MeM_Grass
,DI Water,Grass,0.2461,DI_Grass
,DI Water,Grass,0.1943,DI_Grass
,DI Water,Grass,0.2423,DI_Grass
,NA,NA,NA,NA_NA
,Sucrose,Hay,0.2605,Sucrose_Hay
,Sucrose,Hay,0.1600,Sucrose_Hay
,Sucrose,Hay,0.2350,Sucrose_Hay
,Sucrose,Hay,0.1331,Sucrose_Hay
,MeM,Hay,0.1777,MeM_Hay
,MeM,Hay,0.2143,MeM_Hay
,MeM,Hay,0.2320,MeM_Hay
,MeM,Hay,0.2412,MeM_Hay
,DI Water,Hay,NA,DI_Hay
,DI Water,Hay,0.1202,DI_Hay
,DI Water,Hay,0.1514,DI_Hay
,DI Water,Hay,0.2223,DI_Hay
,Sucrose,Grass,0.2059,Sucrose_Grass
,Sucrose,Grass,0.1544,Sucrose_Grass
,Sucrose,Grass,0.2193,Sucrose_Grass
,Sucrose,Grass,0.2421,Sucrose_Grass
,MeM,Grass,0.2454,MeM_Grass
,MeM,Grass,0.2250,MeM_Grass
,MeM,Grass,0.2271,MeM_Grass
,MeM,Grass,0.1872,MeM_Grass
,DI Water,Grass,0.2303,DI_Grass
,DI Water,Grass,0.2325,DI_Grass
,DI Water,Grass,NA,DI_Grass
,DI Water,Grass,0.1933,DI_Grass
,Sucrose,Hay,NA,Sucrose_Hay
,Sucrose,Hay,0.1473,Sucrose_Hay
,Sucrose,Hay,0.1696,Sucrose_Hay
,Sucrose,Hay,0.0993,Sucrose_Hay
,MeM,Hay,0.2256,MeM_Hay
,MeM,Hay,NA,MeM_Hay
,MeM,Hay,NA,MeM_Hay
,MeM,Hay,NA,MeM_Hay
,DI Water,Hay,0.2015,DI_Hay
,DI Water,Hay,0.1511,DI_Hay
,DI Water,Hay,NA,DI_Hay
,DI Water,Hay,0.1403,DI_Hay
,Sucrose,Grass,NA,Sucrose_Grass
,Sucrose,Grass,0.1893,Sucrose_Grass
,Sucrose,Grass,0.2218,Sucrose_Grass
,Sucrose,Grass,NA,Sucrose_Grass
,MeM,Grass,0.2423,MeM_Grass
,MeM,Grass,0.2616,MeM_Grass
,MeM,Grass,0.1899,MeM_Grass
,MeM,Grass,0.2062,MeM_Grass
,DI Water,Grass,0.2598,DI_Grass
,DI Water,Grass,0.2434,DI_Grass
,DI Water,Grass,0.2094,DI_Grass
,DI Water,Grass,NA,DI_Grass
,Sucrose,Hay,0.2036,Sucrose_Hay
,Sucrose,Hay,0.1683,Sucrose_Hay
,Sucrose,Hay,0.1404,Sucrose_Hay
,MeM,Hay,NA,MeM_Hay
,MeM,Hay,NA,MeM_Hay
,DI Water,Hay,0.1769,DI_Hay
,DI Water,Hay,0.1987,DI_Hay
,Sucrose,Grass,0.1851,Sucrose_Grass
,Sucrose,Grass,0.2259,Sucrose_Grass
,Sucrose,Grass,NA,Sucrose_Grass
,MeM,Grass,0.2631,MeM_Grass
,MeM,Grass,0.2582,MeM_Grass
,MeM,Grass,0.2318,MeM_Grass
,DI Water,Grass,NA,DI_Grass
,DI Water,Grass,NA,DI_Grass
,Sucrose,Hay,,Sucrose_Hay
,Sucrose,Hay,0.1980,Sucrose_Hay
,Sucrose,Hay,0.1085,Sucrose_Hay
,Sucrose,Hay,0.1896,Sucrose_Hay
,MeM,Hay,0.1946,MeM_Hay
,MeM,Hay,0.1671,MeM_Hay
,MeM,Hay,0.1193,MeM_Hay
,MeM,Hay,NA,MeM_Hay
,DI Water,Hay,,DI_Hay
,DI Water,Hay,0.1958,DI_Hay
,DI Water,Hay,0.1480,DI_Hay
,DI Water,Hay,0.2008,DI_Hay
,Sucrose,Grass,0.1599,Sucrose_Grass
,Sucrose,Grass,0.2618,Sucrose_Grass
,Sucrose,Grass,0.1814,Sucrose_Grass
,Sucrose,Grass,0.1967,Sucrose_Grass
,MeM,Grass,NA,MeM_Grass
,MeM,Grass,0.2266,MeM_Grass
,MeM,Grass,NA,MeM_Grass
,MeM,Grass,0.2329,MeM_Grass
,DI Water,Grass,0.1943,DI_Grass
,DI Water,Grass,0.2450,DI_Grass
,DI Water,Grass,0.2161,DI_Grass
,DI Water,Grass,NA,DI_Grass
,Sucrose,Hay,0.2824,Sucrose_Hay
,Sucrose,Hay,NA,Sucrose_Hay
,MeM,Hay,NA,MeM_Hay
,MeM,Hay,0.2064,MeM_Hay
,DI Water,Hay,0.2022,DI_Hay
,DI Water,Hay,0.1972,DI_Hay
,Sucrose,Hay,0.2195,Sucrose_Hay
,Sucrose,Hay,0.2304,Sucrose_Hay
,MeM,Hay,NA,MeM_Hay
,MeM,Hay,0.2293,MeM_Hay
,DI Water,Hay,0.1938,DI_Hay